projectName,SingleLineComments,TotalNoOfOperands,NoOfUniqueOperands,HalsteadProgramEffort,ES2016Compliant,HalsteadProgramVolume,LargestSignatureInFunction,NoOfObjects,HighestCyclomaticComplexity,ES2017Compliant,LongestCallingChain,AvgCallingChain,AvgFanIn,TotalNoOfOperators,Sloc,MultiLineComments,LargestCognitiveComplexity,NoofStatementsInLargestFunction,HighestFanIn,ES2015Compliant,HalsteadDifficulty,AvgNoOfStatementsInFunction,NoOfPropertiesInLargestObject,AvgCyclomaticComplexity,ES2018Compliant,HalsteadProgramLength,NoOfUniqueOperators,AvgFanOut,MaintainabilityIndex,HighestFanOut,AvgCognitiveComplexity,NoOfFunctionsDeclarations,AvgNoOfPropertiesPerObject,Lloc
"cheerio-1.0.0-rc.2","11","9.0","9.0","630.0","false","180.0","4","1","14.0","false","0.0","0.0","0.0","36.0","72","9","23.0","32","0","false","3.5","0","4","2.0","false","45.0","7.0","0.0","108.54072663960693","1","3.0","6","4","61"
"gulp-jshint-2.1.0","6","5.0","5.0","444.04","false","111.01","2","2","6.0","false","0.0","0.0","0.0","25.0","35","0","9.0","10","1","false","4.0","1","0","2.0","false","30.0","8.0","0.0","111.1466446313892","2","5.0","3","0","28"
"eslint-plugin-import-2.16.0","6","2.0","2.0","3.17","false","6.34","0","3","1.0","false","0.0","0.0","0.0","2.0","56","0","0.0","0","0","false","0.5","0","40","1.0","false","4.0","1.0","0.0","101.84354057950955","0","0.0","0","16","53"
"supertest-4.0.0","2","4.0","4.0","50.54","false","33.69","1","1","2.0","false","0.0","0.0","0.0","8.0","18","4","1.0","5","0","false","1.5","0","0","1.0","false","12.0","3.0","0.0","128.55763994980214","0","0.0","3","0","14"
"style-loader-0.23.1","14","6.0","6.0","328.65","false","131.46","1","1","8.0","false","0.0","0.0","0.0","32.0","67","1","6.0","12","0","false","2.5","0","0","2.0","false","38.0","5.0","0.0","94.37827637960744","0","3.0","2","0","23"
"babel-polyfill-6.26.0","0","1.0","1.0","12.0","false","8.0","3","1","2.0","false","0.0","0.0","0.0","3.0","21","0","0.0","1","0","false","1.5","0","3","1.0","false","4.0","3.0","0.0","125.19974075122151","1","0.0","2","3","16"
"gulp-sourcemaps-2.6.5","0","0.0","0.0","0.0","false","0.0","0","1","1.0","false","0.0","0.0","0.0","1.0","7","0","0.0","0","0","false","0.0","0","4","1.0","false","1.0","1.0","0.0","139.47625558530393","0","0.0","0","4","6"
"grunt-contrib-concat-1.0.1","21","10.0","9.0","897.5","false","161.42","2","3","14.0","false","0.0","0.0","0.0","28.0","79","1","45.0","14","0","false","5.56","1","8","3.0","false","38.0","10.0","0.0","103.62222904411101","0","21.0","5","2","57"
"karma-jasmine-2.0.1","0","4.0","4.0","18.09","false","18.09","1","2","1.0","false","0.0","0.0","0.0","3.0","14","0","0.0","4","0","false","1.0","0","4","1.0","false","7.0","2.0","0.0","129.5741267813313","0","0.0","2","2","15"
"karma-mocha-1.3.0","0","9.0","9.0","378.0","false","108.0","2","6","6.0","false","0.0","0.0","0.0","18.0","64","0","6.0","10","0","false","3.5","0","4","2.0","false","27.0","7.0","0.0","114.94819984660545","0","1.0","7","0","43"
"grunt-contrib-copy-1.0.0","1","16.0","16.0","961.29","false","213.62","2","4","23.0","false","0.0","0.0","0.0","30.0","97","1","72.0","18","0","false","4.5","0","5","4.0","false","46.0","9.0","0.0","109.88976941750154","1","19.0","9","2","87"
"gulp-plumber-1.2.1","3","9.0","8.0","684.0","false","152.0","2","2","12.0","true","0.0","0.0","0.0","29.0","87","0","17.0","16","0","false","4.5","0","1","1.0","false","38.0","8.0","0.0","113.07934576888412","5","3.0","9","0","63"
"tap-12.6.0","16","25.0","23.0","2241.29","false","515.24","2","4","15.0","false","0.0","0.0","0.0","79.0","188","10","27.0","11","1","true","4.35","0","2","1.0","false","104.0","8.0","0.0","110.92840752273963","2","2.0","22","0","136"
"babel-plugin-transform-runtime-6.23.0","0","21.0","13.0","1929.47","false","298.68","2","4","30.0","false","0.0","0.0","0.0","47.0","97","0","67.0","24","0","false","6.46","2","4","3.0","false","68.0","8.0","0.0","111.18806403426026","0","8.0","12","2","107"
"semver-5.6.0","148","110.0","95.0","77462.28","false","7434.0","13","10","23.0","false","0.0","0.0","2.0","980.0","1000","12","57.0","54","6","false","10.42","1","2","1.0","false","1090.0","18.0","0.0","93.65328793650252","6","6.0","88","1","853"
"chai-as-promised-7.1.1","28","29.0","26.0","3548.32","false","635.9","4","7","27.0","false","0.0","0.0","1.0","94.0","273","3","72.0","11","4","true","5.58","0","2","1.0","false","123.0","10.0","0.0","116.97124082248015","4","2.0","53","0","177"
"shelljs-0.8.3","131","1.0","1.0","11.09","false","11.09","1","0","1.0","false","0.0","0.0","0.0","6.0","9","0","0.0","1","0","false","1.0","0","0","1.0","false","7.0","2.0","0.0","127.17629204649425","0","0.0","1","0","8"
"run-sequence-2.2.1","8","13.0","13.0","966.32","false","241.58","3","3","15.0","false","0.0","0.0","1.0","42.0","116","1","36.0","14","2","false","4.0","1","2","2.0","false","55.0","8.0","0.0","113.64627012860205","1","7.0","14","1","88"
"karma-coverage-1.1.2","6","0.0","0.0","0.0","false","0.0","0","1","1.0","false","0.0","0.0","0.0","1.0","5","0","0.0","0","0","false","0.0","0","2","1.0","false","1.0","1.0","0.0","144.92710581856758","0","0.0","0","2","4"
"ember-cli-3.8.1","91","54.0","45.0","4124.11","false","859.19","3","0","21.0","false","0.0","0.0","0.0","96.0","354","18","44.0","56","0","true","4.8","1","0","1.0","false","150.0","8.0","0.0","102.2743614021685","0","5.0","28","0","242"
"gulp-istanbul-1.1.3","11","33.0","30.0","2575.82","false","468.33","3","16","25.0","false","0.0","0.0","0.0","55.0","146","0","19.0","12","0","false","5.5","0","5","2.0","false","88.0","10.0","0.0","110.29320579845592","0","2.0","17","1","114"
